1431 out of 4078 wrong corrections
('abouta', 'about a', ('about',))
('aboutit', 'about it', ('about',))
('aboutthe', 'about the', ['aboutthe'])
('abondons', 'abandons', ('abandon',))
('consenquently', 'consequently', ['consenquently'])
('consentrates', 'concentrates', ('concentrate',))
('consequentually', 'consequently', ['consequentually'])
('considerd', 'considered', ('consider',))
('consituencies', 'constituencies', ['consituencies'])
('consituted', 'constituted', ['consituted'])
('consolodate', 'consolidate', ('consolidated',))
('consonents', 'consonants', ('continents',))
('conspiracys', 'conspiracies', ('conspiracy',))
('conspiriator', 'conspirator', ('conspirators',))
('constanly', 'constantly', ('constancy',))
('constarnation', 'consternation', ['constarnation'])
('constituant', 'constituent', ('constituents',))
('consumated', 'consummated', ('consumed',))
('contaiminate', 'contaminate', ('contaminated',))
('containes', 'contains', ('containers',))
('contemporaneus', 'contemporaneous', ['contemporaneus'])
('contempory', 'contemporary', ['contempory'])
('contibute', 'contribute', ('continue',))
('contibutes', 'contributes', ('continues',))
('contigent', 'contingent', ('continent',))
('contributer', 'contributor', ('contributed',))
('contruction', 'construction', ['contruction'])
('conviced', 'convinced', ('convicted',))
('copywrite', 'copyright', ('copywriter',))
('coridal', 'cordial', ('bridal',))
('correcters', 'correctors', ('corrected',))
('corrispond', 'correspond', ['corrispond'])
('corrisponded', 'corresponded', ['corrisponded'])
('corrisponds', 'corresponds', ['corrisponds'])
('countains', 'contains', ('mountains',))
('creche', 'crèche', ('crece',))
('creedence', 'credence', ['creedence'])
('criticists', 'critics', ('criticisms',))
('critisising', 'criticising', ('criticizing',))
('critized', 'criticized', ('citizen',))
('crticised', 'criticised', ['crticised'])
('crystalisation', 'crystallisation', ('crystallization',))
('culiminating', 'culminating', ('eliminating',))
('currenly', 'currently', ('currency',))
('cxan', 'cyan', ('can',))
('damenor', 'demeanor', ('draenor',))
('Dardenelles', 'Dardanelles', ('dardanelles',))
('decendant', 'descendant', ('descendants',))
('decendent', 'descendant', ('dependent',))
('decendents', 'descendants', ('dependents',))
('decideable', 'decidable', ['decideable'])
('decomissioned', 'decommissioned', ['decomissioned'])
('decomposit', 'decompose', ['decomposit'])
('decomposited', 'decomposed', ['decomposited'])
('decompositing', 'decomposing', ('decomposition',))
('decomposits', 'decomposes', ['decomposits'])
('defendent', 'defendant', ('dependent',))
('defendents', 'defendants', ('dependents',))
('deffensively', 'defensively', ['deffensively'])
('definit', 'definite', ('deficit',))
('degrate', 'degrade', ('debate',))
('delagates', 'delegates', ('delegate',))
('delapidated', 'dilapidated', ('decapitated',))
('delusionally', 'delusively', ('delusional',))
('demenor', 'demeanor', ('devenir',))
('demographical', 'demographic', ('geographical',))
('denegrating', 'denigrating', ('generating',))
('densly', 'densely', ('deadly',))
('deparmental', 'departmental', ['deparmental'])
('deriviated', 'derived', ('derivate',))
('derogitory', 'derogatory', ('depository',))
('descripters', 'descriptors', ['descripters'])
('deside', 'decide', ('desire',))
('desintegrated', 'disintegrated', ['desintegrated'])
('desitned', 'destined', ('designed',))
('desoriented', 'disoriented', ['desoriented'])
('despict', 'depict', ('respect',))
('dessicated', 'desiccated', ('dedicated',))
('destablized', 'destabilized', ['destablized'])
('deteoriated', 'deteriorated', ['deteoriated'])
('deteriate', 'deteriorate', ['deteriate'])
('deterioriating', 'deteriorating', ['deterioriating'])
('devasted', 'devastated', ('devoted',))
('develope', 'develop', ('developer',))
('developement', 'development', ['developement'])
('develpment', 'development', ['develpment'])
('devels', 'delves', ('levels',))
('devide', 'divide', ('device',))
('devolopement', 'development', ('developement',))
('diamons', 'diamonds', ('diamond',))
('dichtomy', 'dichotomy', ['dichtomy'])
('diconnects', 'disconnects', ('disconnect',))
('dictionarys', 'dictionaries', ('dictionary',))
('diety', 'deity', ('diet',))
('differentiatiations', 'differentiations', ['differentiatiations'])
('diminuitive', 'diminutive', ['diminuitive'])
('dimunitive', 'diminutive', ['dimunitive'])
('diosese', 'diocese', ('dioses',))
('diphtong', 'diphthong', ['diphtong'])
('diphtongs', 'diphthongs', ['diphtongs'])
('dipthong', 'diphthong', ['dipthong'])
('dipthongs', 'diphthongs', ['dipthongs'])
('disagreeed', 'disagreed', ['disagreeed'])
('disaproval', 'disapproval', ['disaproval'])
('disatisfaction', 'dissatisfaction', ('satisfaction',))
('discontentment', 'discontent', ['discontentment'])
('disenchanged', 'disenchanted', ['disenchanged'])
('disobediant', 'disobedient', ['disobediant'])
('disover', 'discover', ['disover'])
('disparingly', 'disparagingly', ['disparingly'])
('dispence', 'dispense', ('distance',))
('dispenced', 'dispensed', ('displaced',))
('dispicable', 'despicable', ('disposable',))
('dispite', 'despite', ('dispute',))
('disproportiate', 'disproportionate', ['disproportiate'])
('disputandem', 'disputandum', ['disputandem'])
('dissarray', 'disarray', ['dissarray'])
('dissobediant', 'disobedient', ['dissobediant'])
('dissobedient', 'disobedient', ['dissobedient'])
('distingishes', 'distinguishes', ('distinguished',))
('divice', 'device', ('divine',))
('dum', 'dumb', ('du',))
('draughtman', 'draughtsman', ['draughtman'])
('Dravadian', 'Dravidian', ('dravidian',))
('dreasm', 'dreams', ('dream',))
('drummless', 'drumless', ('drugless',))
('dyas', 'dryas', ('days',))
('ealier', 'earlier', ('easier',))
('earnt', 'earned', ('earn',))
('ect', 'etc', ('eat',))
('efel', 'evil', ('feel',))
('effulence', 'effluence', ('affluence',))
('eiter', 'either', ('eater',))
('electricly', 'electrically', ('electric',))
('eleminated', 'eliminated', ('laminated',))
('eles', 'eels', ('eyes',))
('elicided', 'elicited', ('felicidad',))
('ellected', 'elected', ('selected',))
('embarass', 'embarrass', ('embarazo',))
('embargos', 'embargoes', ('embargo',))
('embarras', 'embarrass', ['embarras'])
('embezelled', 'embezzled', ['embezelled'])
('eminate', 'emanate', ('emirate',))
('eminated', 'emanated', ('laminated',))
('emited', 'emitted', ('edited',))
('emiting', 'emitting', ('editing',))
('emminently', 'eminently', ['emminently'])
('emmisarries', 'emissaries', ['emmisarries'])
('emmisarry', 'emissary', ['emmisarry'])
('emmision', 'emission', ('envision',))
('emmited', 'emitted', ('limited',))
('emmiting', 'emitting', ('editing',))
('emmitted', 'emitted', ('committed',))
('emmitting', 'emitting', ['emmitting'])
('emphaised', 'emphasised', ['emphaised'])
('emporer', 'emperor', ('empower',))
('enameld', 'enameled', ('enamel',))
('encylopedia', 'encyclopedia', ['encylopedia'])
('endolithes', 'endoliths', ['endolithes'])
('enduce', 'induce', ('endure',))
('engagment', 'engagement', ['engagment'])
('enlargment', 'enlargement', ['enlargment'])
('enlargments', 'enlargements', ('enlargment',))
('enourmously', 'enormously', ['enourmously'])
('ensconsed', 'ensconced', ['ensconsed'])
('entitity', 'entity', ('entities',))
('enviorment', 'environment', ('enivorment',))
('eratic', 'erratic', ('erotic',))
('eratically', 'erratically', ('radically',))
('eraticly', 'erratically', ['eraticly'])
('errupted', 'erupted', ('corrupted',))
('essense', 'essence', ['essense'])
('essentialy', 'essentially', ('essential',))
('estabishes', 'establishes', ('established',))
('ethnocentricm', 'ethnocentrism', ['ethnocentricm'])
('Europian', 'European', ('european',))
('Europians', 'Europeans', ('europeans',))
('Eurpean', 'European', ('european',))
('Eurpoean', 'European', ('european',))
('eventhough', 'even though', ['eventhough'])
('eventualy', 'eventually', ('eventual',))
('everytime', 'every time', ['everytime'])
('evidentally', 'evidently', ['evidentally'])
('exagerate', 'exaggerate', ('exaggerated',))
('exagerates', 'exaggerates', ('exaggerated',))
('exagerating', 'exaggerating', ['exagerating'])
('exagerrate', 'exaggerate', ['exagerrate'])
('exagerrates', 'exaggerates', ['exagerrates'])
('exagerrating', 'exaggerating', ['exagerrating'])
('examinated', 'examined', ('laminated',))
('exampt', 'exempt', ['exampt'])
('excecutes', 'executes', ('execute',))
('excedded', 'exceeded', ('embedded',))
('excells', 'excels', ('excel',))
('excercise', 'exercise', ['excercise'])
('excisted', 'existed', ('excited',))
('exection', 'execution', ('election',))
('exeedingly', 'exceedingly', ['exeedingly'])
('exelent', 'excellent', ('element',))
('exerbate', 'exacerbate', ['exerbate'])
('exerbated', 'exacerbated', ['exerbated'])
('exerciese', 'exercises', ('exercise',))
('exerpt', 'excerpt', ['exerpt'])
('existant', 'existent', ('distant',))
('exliled', 'exiled', ('exile',))
('exludes', 'excludes', ('excuses',))
('exonorate', 'exonerate', ('exonerated',))
('exoskelaton', 'exoskeleton', ['exoskelaton'])
('expatriot', 'expatriate', ('patriot',))
('expells', 'expels', ('experts',))
('explictly', 'explicitly', ['explictly'])
('explotation', 'exploitation', ('exploration',))
('expropiated', 'expropriated', ['expropiated'])
('expropiation', 'expropriation', ['expropiation'])
('extered', 'exerted', ('entered',))
('extradiction', 'extradition', ('extraction',))
('extraterrestial', 'extraterrestrial', ['extraterrestial'])
('extremeophile', 'extremophile', ['extremeophile'])
('facinated', 'fascinated', ('laminated',))
('fanatism', 'fanaticism', ('fanatic',))
('Farenheit', 'Fahrenheit', ('fahrenheit',))
('fatc', 'fact', ('fat',))
('faught', 'fought', ('taught',))
('favoutrable', 'favourable', ['favoutrable'])
('Febuary', 'February', ('february',))
('Feburary', 'February', ('february',))
('fedreally', 'federally', ['fedreally'])
('fertily', 'fertility', ('fertile',))
('fictious', 'fictitious', ('fictions',))
('finaly', 'finally', ('final',))
('financialy', 'financially', ('financial',))
('fisionable', 'fissionable', ('fashionable',))
('Flemmish', 'Flemish', ('flemish',))
('flourishment', 'flourishing', ('nourishment',))
('fonetic', 'phonetic', ('genetic',))
('fontrier', 'fontier', ('frontier',))
('forbad', 'forbade', ('ford',))
('foreward', 'foreword', ['foreward'])
('forfiet', 'forfeit', ('forget',))
('forhead', 'forehead', ('forged',))
('Formalhaut', 'Fomalhaut', ['formalhaut'])
('formallize', 'formalize', ['formallize'])
('formallized', 'formalized', ('normalized',))
('forsaw', 'foresaw', ('warsaw',))
('forseeable', 'foreseeable', ['forseeable'])
('fortelling', 'foretelling', ['fortelling'])
('forunner', 'forerunner', ('runner',))
('fougth', 'fought', ('fourth',))
('foundaries', 'foundries', ('boundaries',))
('foundary', 'foundry', ('boundary',))
('Foundland', 'Newfoundland', ('foundling',))
('fourty', 'forty', ('fourth',))
('fouth', 'fourth', ['fouth'])
('foward', 'forward', ['foward'])
('Fransiscan', 'Franciscan', ('franciscan',))
('Fransiscans', 'Franciscans', ('franciscans',))
('funguses', 'fungi', ('fungus',))
('futher', 'further', ('father',))
('futhermore', 'furthermore', ['futhermore'])
('Galations', 'Galatians', ('galatians',))
('Gameboy', 'Game Boy', ('gameday',))
('gardai', 'gardaí', ('garden',))
('gauarana', 'guaraná', ('guayana',))
('generaly', 'generally', ('general',))
('genialia', 'genitalia', ('geniale',))
('geometrician', 'geometer', ('geometrical',))
('geometricians', 'geometers', ['geometricians'])
('Ghandi', 'Gandhi', ['ghandi'])
('glight', 'flight', ('light',))
('gnawwed', 'gnawed', ['gnawwed'])
('Godounov', 'Godunov', ['godounov'])
('Gothenberg', 'Gothenburg', ('gutenberg',))
('Gottleib', 'Gottlieb', ['gottleib'])
('gouvener', 'governor', ('souvenir',))
('govement', 'government', ('movement',))
('goverment', 'government', ['goverment'])
('govorment', 'government', ('goverment',))
('gracefull', 'graceful', ('gracefully',))
('gramatically', 'grammatically', ('dramatically',))
('grammaticaly', 'grammatically', ('grammatical',))
('grammer', 'grammar', ['grammer'])
('gratuitious', 'gratuitous', ['gratuitious'])
('greatful', 'grateful', ('restful',))
('greatfully', 'gratefully', ['greatfully'])
('Guatamala', 'Guatemala', ('guatemala',))
('Guatamalan', 'Guatemalan', ('guatemalan',))
('Guilia', 'Giulia', ('giulia',))
('Guilio', 'Giulio', ('giulio',))
('Guiness', 'Guinness', ('guinness',))
('Guiseppe', 'Giuseppe', ('giuseppe',))
('gunanine', 'guanine', ('gunning',))
('guttaral', 'guttural', ['guttaral'])
('gutteral', 'guttural', ('gutter',))
('Habsbourg', 'Habsburg', ('habsburg',))
('haemorrage', 'haemorrhage', ['haemorrage'])
('hapen', 'happen', ('haven',))
('happenned', 'happened', ['happenned'])
('harased', 'harassed', ('harare',))
('harases', 'harasses', ('harass',))
('harasments', 'harassments', ('harassment',))
('harras', 'harass', ('harris',))
('harrased', 'harassed', ('narrated',))
('harrases', 'harasses', ('harass',))
('harrasing', 'harassing', ('harrowing',))
('harrasments', 'harassments', ['harrasments'])
('harrassed', 'harassed', ('harnessed',))
('harrasses', 'harassed', ('terrasses',))
('harrassing', 'harassing', ('harnessing',))
('harrassments', 'harassments', ('harassment',))
('Hatian', 'Haitian', ('haitian',))
('haviest', 'heaviest', ('harvest',))
('headquarer', 'headquarter', ('headquarters',))
('headquater', 'headquarter', ('headquarters',))
('headquatered', 'headquartered', ['headquatered'])
('Heidelburg', 'Heidelberg', ('heidelberg',))
('hemmorhage', 'hemorrhage', ['hemmorhage'])
('heroe', 'hero', ('heroes',))
('heros', 'heroes', ['heros'])
('hertzs', 'hertz', ('heroes',))
('hesistant', 'hesitant', ('resistant',))
('heterogenous', 'heterogeneous', ['heterogenous'])
('higest', 'highest', ('digest',))
('higway', 'highway', ['higway'])
('hillarious', 'hilarious', ['hillarious'])
('hinderance', 'hindrance', ('hindrances',))
('hinderence', 'hindrance', ('inference',))
('hindrence', 'hindrance', ('hindrances',))
('hitsingles', 'hit singles', ['hitsingles'])
('holf', 'hold', ('holy',))
('homestate', 'home state', ('homestyle',))
('homogeneize', 'homogenize', ['homogeneize'])
('homogeneized', 'homogenized', ['homogeneized'])
('honory', 'honorary', ('honor',))
('hosited', 'hoisted', ['hosited'])
('hospitible', 'hospitable', ['hospitible'])
('howver', 'however', ('hoover',))
('htis', 'this', ('his',))
('humoural', 'humoral', ('humour',))
('hydropile', 'hydrophile', ['hydropile'])
('hydropobe', 'hydrophobe', ('hydropower',))
('hydropobic', 'hydrophobic', ('hydroponic',))
('hypocracy', 'hypocrisy', ['hypocracy'])
('hypocrasy', 'hypocrisy', ['hypocrasy'])
('hypocricy', 'hypocrisy', ('hypocrite',))
('hypocrits', 'hypocrites', ('hypocrite',))
('idaeidae', 'idea', ['idaeidae'])
('identifers', 'identifiers', ('identifier',))
('idiosyncracy', 'idiosyncrasy', ['idiosyncracy'])
('Ihaca', 'Ithaca', ('inhaca',))
('illegimacy', 'illegitimacy', ['illegimacy'])
('ilogical', 'illogical', ('logical',))
('imagin', 'imagine', ('imaging',))
('immitated', 'imitated', ('imitates',))
('immitating', 'imitating', ('irritating',))
('immitator', 'imitator', ['immitator'])
('immunosupressant', 'immunosuppressant', ['immunosupressant'])
('impecabbly', 'impeccably', ['impecabbly'])
('implimented', 'implemented', ('implementer',))
('imploys', 'employs', ['imploys'])
('impressario', 'impresario', ['impressario'])
('inablility', 'inability', ['inablility'])
('inaccessable', 'inaccessible', ['inaccessable'])
('inadvertantly', 'inadvertently', ['inadvertantly'])
('inagurated', 'inaugurated', ['inagurated'])
('inaugures', 'inaugurates', ('inaugural',))
('inbalanced', 'imbalanced', ('unbalanced',))
('incidentially', 'incidentally', ['incidentially'])
('incidently', 'incidentally', ('incident',))
('incorperation', 'incorporation', ('incarceration',))
('incorprates', 'incorporates', ('incorporated',))
('incorruptable', 'incorruptible', ('incorruptibles',))
('incramentally', 'incrementally', ['incramentally'])
('incunabla', 'incunabula', ('incurable',))
('indefinately', 'indefinitely', ['indefinately'])
('indefineable', 'undefinable', ['indefineable'])
('indefinitly', 'indefinitely', ['indefinitly'])
('indepedantly', 'independently', ['indepedantly'])
('independantly', 'independently', ['independantly'])
('independendet', 'independent', ('independence',))
('indespensable', 'indispensable', ['indespensable'])
('indespensible', 'indispensable', ('indispensible',))
('indipendently', 'independently', ['indipendently'])
('indispensible', 'indispensable', ['indispensible'])
('indisputibly', 'indisputably', ('indisputable',))
('indite', 'indict', ('indie',))
('individualy', 'individually', ('individual',))
('indpendently', 'independently', ['indpendently'])
('inefficienty', 'inefficiently', ('inefficient',))
('inevititably', 'inevitably', ['inevititably'])
